't - 10m','MSD - 10m','t - 15m','MSD - 15m','t - 20m','MSD - 20m','t - 25m','MSD - 25m','t - 30m','MSD - 30m','t - 35m','MSD - 35m','t - 40m','MSD - 40m','t - 45m','MSD - 45m','t - 50m','MSD - 50m','t - 55m','MSD - 55m','t - 60m','MSD - 60m','t - 65m','MSD - 65m','t - 70m','MSD - 70m','t - 75m','MSD - 75m','t - 80m','MSD - 80m','t - 85m','MSD - 85m','t - 90m','MSD - 90m','t - 95m','MSD - 95m','t - 100m','MSD - 100m','t - 105m','MSD - 105m','t - 110m','MSD - 110m','t - 115m','MSD - 115m','t - psinwater','MSD - psinwater'
0.0333333,0.0477153,0.0333333,0.0381515,0.0333333,0.030709,0.0333333,0.0252951,0.0333333,0.0211376,0.0333333,0.0243376,0.0333333,0.0180645,0.0333333,0.0145308,0.0333333,0.0157717,0.0333333,0.0116522,0.0333333,0.00938512,0.0333333,0.00877114,0.0333333,0.00671739,0.0333333,0.00707419,0.0333333,0.00625133,0.0333333,0.00468021,0.0333333,0.00385794,0.0333333,0.00329786,0.0333333,0.00287937,0.0333333,0.00254952,0.0333333,0.00225142,0.0333333,0.00199791,0.0333333,0.0999999
0.0666667,0.0941268,0.0666667,0.0747661,0.0666667,0.0594131,0.0666667,0.0485679,0.0666667,0.0398295,0.0666667,0.046,0.0666667,0.0333497,0.0666667,0.0261604,0.0666667,0.028249,0.0666667,0.0202158,0.0666667,0.0157441,0.0666667,0.0144358,0.0666667,0.0107274,0.0666667,0.0110894,0.0666667,0.00960987,0.0666667,0.00697285,0.0666667,0.00554004,0.0666667,0.00459629,0.0666667,0.00390568,0.0666667,0.00336393,0.0666667,0.00292583,0.0666667,0.00254781,0.0666667,0.2
0.1,0.140079,0.1,0.11124,0.1,0.087788,0.1,0.071467,0.1,0.0580718,0.1,0.0671477,0.1,0.0480391,0.1,0.037228,0.1,0.0400122,0.1,0.0280809,0.1,0.0215274,0.1,0.0194911,0.1,0.0141896,0.1,0.0144898,0.1,0.012358,0.1,0.00880911,0.1,0.00685223,0.1,0.00560433,0.1,0.0046777,0.1,0.0039561,0.1,0.00341328,0.1,0.00292874,0.1,0.3
0.133333,0.186192,0.133333,0.147505,0.133333,0.115861,0.133333,0.0944997,0.133333,0.0760641,0.133333,0.0880209,0.133333,0.0622956,0.133333,0.0480148,0.133333,0.0513709,0.133333,0.0356082,0.133333,0.0269862,0.133333,0.0241873,0.133333,0.0173738,0.133333,0.0174852,0.133333,0.0147693,0.133333,0.0103825,0.133333,0.00796131,0.133333,0.00643621,0.133333,0.00531537,0.133333,0.00443204,0.133333,0.00379968,0.133333,0.00323806,0.133333,0.399999
0.166667,0.232255,0.166667,0.183599,0.166667,0.143938,0.166667,0.117337,0.166667,0.0938324,0.166667,0.108633,0.166667,0.0762635,0.166667,0.0584971,0.166667,0.0624864,0.166667,0.0428029,0.166667,0.0322436,0.166667,0.0285962,0.166667,0.0202998,0.166667,0.0202356,0.166667,0.016939,0.166667,0.0117676,0.166667,0.00893278,0.166667,0.00714494,0.166667,0.00584917,0.166667,0.00482171,0.166667,0.00411061,0.166667,0.00348919,0.166667,0.500001
0.2,0.278076,0.2,0.219892,0.2,0.17214,0.2,0.140016,0.2,0.111514,0.2,0.128966,0.2,0.0900174,0.2,0.0688259,0.2,0.0733696,0.2,0.0498223,0.2,0.037268,0.2,0.0328081,0.2,0.0230733,0.2,0.022808,0.2,0.0189537,0.2,0.0130569,0.2,0.00983366,0.2,0.00781336,0.2,0.00633612,0.2,0.00519433,0.2,0.00440379,0.2,0.00371299,0.2,0.6
0.233333,0.323987,0.233333,0.256448,0.233333,0.200234,0.233333,0.162761,0.233333,0.129076,0.233333,0.149162,0.233333,0.103606,0.233333,0.0790089,0.233333,0.0840587,0.233333,0.0567195,0.233333,0.0421976,0.233333,0.0368042,0.233333,0.0257128,0.233333,0.025226,0.233333,0.0208758,0.233333,0.0142482,0.233333,0.0106248,0.233333,0.00840406,0.233333,0.0067415,0.233333,0.00552728,0.233333,0.00464489,0.233333,0.00389869,0.233333,0.699999
0.266667,0.369844,0.266667,0.293001,0.266667,0.228215,0.266667,0.185418,0.266667,0.146607,0.266667,0.169356,0.266667,0.11715,0.266667,0.089073,0.266667,0.0947383,0.266667,0.0634765,0.266667,0.0470391,0.266667,0.0406832,0.266667,0.0282834,0.266667,0.0275241,0.266667,0.0226756,0.266667,0.0153866,0.266667,0.011381,0.266667,0.00896502,0.266667,0.00711864,0.266667,0.00581961,0.266667,0.00487227,0.266667,0.00406002,0.266667,0.800001
0.3,0.415445,0.3,0.329799,0.3,0.25605,0.3,0.207976,0.3,0.164225,0.3,0.189535,0.3,0.130647,0.3,0.0990948,0.3,0.105379,0.3,0.0701229,0.3,0.0518095,0.3,0.0444719,0.3,0.0307627,0.3,0.0297575,0.3,0.0244018,0.3,0.0164705,0.3,0.0120822,0.3,0.00946768,0.3,0.00748214,0.3,0.00608707,0.3,0.00506497,0.3,0.00420807,0.3,0.9
0.333333,0.460759,0.333333,0.366608,0.333333,0.283628,0.333333,0.230351,0.333333,0.181745,0.333333,0.209567,0.333333,0.144066,0.333333,0.109124,0.333333,0.115898,0.333333,0.0766447,0.333333,0.0564501,0.333333,0.048147,0.333333,0.033177,0.333333,0.0318776,0.333333,0.0260216,0.333333,0.0174895,0.333333,0.0127394,0.333333,0.00992061,0.333333,0.0077968,0.333333,0.00631682,0.333333,0.00524762,0.333333,0.00434241,0.333333,0.999999
